timestamp,stPwrLine,cuHvBatChrgSet,stScktAPlug,stScktALck,uHcChrgr,tClnt,uScktAProx,wRail1,wRail2,wRail3,curHvDcObc,tDcDcSens1,tDcDcSens2,tDcDcSens3,uHvDcSens1,uHvDcSens2,uHvDcSens3,rPwmStrgWhl,uExt2,unknown6,unknown5,curSeatFrntRight,unknown4,unknown3,curSeatFrntLeft,uExt,curFan,tCab,tAmbCalc,tAmb,rFanDes,tqCmpr,nCmpr,tiRngDynStat2,tiRngDynStat1,pwrRngDyn2,pwrRngDyn1,consRngComp,unknown2,consRngCab,unknown1,curAirHeater,stUHvHeat,stUHv,stHvHeat,uAirHeater,tiYear,tiMonth,tiDay,tiHour,tiMin,tiSec,sMileage,sVehLife,sVehTrip,rApp,vVeh1,uHv,aVeh,tDcDcCalc,nEm1,rSocBat,vVeh5,vVeh4,sVeh,tqEm3,tqEm2,tqEm1,stHvCord,pwrHvAux,stLvDcChrg,curHvAux,pwrHvAuxMax,tqRearAxleDes,tqDiffDes,stFrntAxle,stRearAxle,tqRearAxleLim,tqRearAxle,pwrClntPmpHvBat,uChrgMax,uDchrgMin,tHvBat,cur2HvBat,curHvBat1,uSumCell,uHvBat,uPosHvBatChrgCtctr,uPosHvBatCtctr,uPosHvBat,numUCellMin1,uCellMin1,numUCellMax1,uCellMax1,cbHvBatChrg,cbHvBatDchrg,wHvBatChrg,wHvBatDchrg,numChrgMin1,chrgMin1,numChrgMax1,chrgMax1,curLimDynDchrg,curChrgLimDyn,numTMinHvBat,tMinHvBat,numTMaxHvBat,tMaxHvBat,stPwrRed2,tClntHvBatIn,tClntHvBatOut,uHvBatCtctr,curPtcHvBat,stTerm15,rSocBat2,vVeh3,tqEmMechSet,tClntEdcIn,tEmStator,tIgbtU,tIgbtV,tIgbtW,uIgbtSply,nEm2,nEmTrac,tAmbCan,curPhaseW,curPhaseV,curPhaseU,tqEmMin,tqEmMax,tqEmMechCalc,curDcLinkMin,curDcLinkMax,curDcLink,uDcLink,tEmRotor,vVeh2,numInvCurCnt2,pwrInvLossW,pwrInvLossV,pwrInvLossU,numInvCurCnt1,stInvDchrgReq,stInvDchrg,mfClnt,uEmStatQDes,uEmStatDDes,uEmStatQ,uEmStatD,curInvQDes,curInvDDes,curInvQ,curInvD,sVeh1,stPwrRed1,tqEmCalc
1788359034.957749,0,0,17923,17923,428,68,4656,590,727,590,0,2,1,2,426,430,97,0,5,255,255,0,255,255,0,5,0,26,22,22,0,0,0,0,3,0,0,0,0,4759,1,0,0,0,0,15,1782900214,1782900214,1782900214,1782900214,1782900214,1782900214,7057,7057,332,14,0,431,0,28,0,81,0,0,7057,0,0,0,0,0,2,0,1,0,0,15,8,5100,0,0,459,270,22,0,0,432,431,0,432,431,67,3,15,4,4862,7804363,2044,498091,66,80,14,81,3573,215,6,22,1,22,0,23,23,431,0,1,81,0,0.000000,29.111792,28.770493,-9102508969683830825811968.000000,-28066204599315018916298752.000000,-523783120239590308315136.000000,14,0.017806,0.000973,-0.000000,0.205233,-0.354409,0.786860,-0.070569,-0.135130,-0.101237,-206.000000,703.500000,0.000000,433.459259,29.499128,0,0.000000,0.137359,0.197394,1.085994,0.000000,0,0,0.000000,0.000025,-0.000000,0.000568,0.000001,-0.000002,-0.000000,-0.158059,-0.164302,7057,0,-0.096062
1788359036.412776,0,0,17923,17923,428,68,4656,590,727,590,0,2,1,2,426,430,97,0,5,255,255,0,255,255,0,5,0,26,22,22,0,0,0,0,3,0,0,0,0,4759,1,0,0,0,0,15,1782900215,1782900215,1782900215,1782900215,1782900215,1782900215,7057,7057,332,14,0,431,0,28,0,81,0,0,7057,0,0,0,0,0,2,0,1,0,0,15,8,5100,0,0,459,270,22,0,0,432,431,0,431,431,67,3,15,4,4862,7804363,2044,498091,66,80,14,81,3573,215,6,22,1,22,0,23,23,431,0,1,81,0,0.000000,29.112188,28.738602,-9102508969683830825811968.000000,-23406234228274696260943872.000000,-1054840166366933290057728.000000,14,0.011327,0.001638,-0.000000,-0.174554,-0.644356,0.786910,-0.114336,-0.112821,-0.040538,-206.000000,703.500000,0.000000,433.420624,29.498653,0,0.000000,0.156689,0.213258,0.602294,0.000000,0,0,0.000000,0.000661,-0.000000,-0.000647,-0.000001,0.000000,-0.000001,-0.430456,-0.117631,7057,0,-0.012574
1788359037.877883,0,0,17923,17923,428,68,4656,590,727,590,0,2,2,2,426,430,97,0,5,255,255,0,255,255,0,5,0,26,22,22,0,0,0,0,3,0,0,0,0,4759,1,0,0,0,0,15,1782900217,1782900217,1782900217,1782900217,1782900217,1782900217,7057,7057,332,14,0,431,0,28,0,81,0,0,7057,0,0,0,0,0,2,0,1,0,0,15,8,5100,0,0,459,270,22,0,0,432,431,0,431,431,67,3,20,4,4862,7804363,2044,498091,66,80,14,81,3573,215,6,22,1,22,0,23,23,431,0,1,81,0,0.000000,29.112476,28.647541,-9102508969683830825811968.000000,-13778676734942375074332672.000000,-887203073754088526053376.000000,14,-0.008580,0.003334,-0.000000,-0.272615,-0.164694,0.787118,-0.031871,-0.093690,-0.050331,-206.000000,703.500000,0.000000,433.422791,29.498144,0,0.000000,0.451535,0.079905,0.363162,0.000000,0,0,0.000000,-0.000133,-0.000000,-0.000082,-0.000002,-0.000001,-0.000000,-0.043301,0.185822,7057,0,-0.061272
1788359039.337936,0,0,17923,17923,428,68,4656,590,727,590,0,2,2,2,426,430,97,0,5,255,255,0,255,255,0,5,0,26,22,22,0,0,0,0,3,0,0,0,0,4759,1,0,0,0,0,15,1782900218,1782900218,1782900218,1782900218,1782900218,1782900218,7057,7057,332,14,0,431,0,28,0,81,0,0,7057,0,0,0,0,0,2,0,1,0,0,15,8,5100,0,0,459,270,22,0,0,432,431,0,431,431,67,3,20,4,4862,7804363,2044,498091,66,80,14,81,3573,215,6,22,1,22,0,23,23,431,0,1,81,0,0.003047,29.112446,28.668875,-9102508969683830825811968.000000,-28066204599315018916298752.000000,-523200498562996641988608.000000,14,-0.503026,-0.061611,-0.000000,-0.357254,0.124943,0.879044,-57.354530,55.140697,-0.142387,-206.000000,703.500000,0.002871,433.393677,29.497650,0,0.000000,0.465530,0.611169,0.746499,0.000000,0,0,0.000000,-0.033992,0.004007,-0.006689,0.005225,-0.115003,-0.030261,-0.344002,-0.217066,7057,0,-0.107361
1788359040.797989,0,0,17923,17923,429,68,4656,590,727,590,0,2,2,2,426,430,97,0,5,255,255,0,255,255,0,5,0,26,22,22,0,0,0,0,3,0,0,0,0,4759,1,0,0,0,0,15,1782900224,1782900224,1782900224,1782900224,1782900224,1782900224,7057,7057,332,18,0,431,0,28,17511,81,0,0,7057,0,0,0,0,0,2,0,1,14608,0,15,1,5100,26983,0,459,270,22,-1,0,432,431,0,431,431,67,3,6,4,4862,7804363,2044,498091,66,80,14,81,3573,215,6,22,1,22,0,23,23,431,0,1,81,0,-4.220973,29.205490,28.740175,-14374133898176044474312949760.000000,-14002354971487545198163001344.000000,-512721422357629694948409344.000000,14,-20.268890,-2.144528,-0.000000,12.709822,-1.671742,-9.835318,-310.000000,310.000000,-3.181605,-206.000000,703.500000,0.142812,433.292450,29.497202,0,0.000000,8.897003,14.527026,8.913710,0.000000,0,0,0.000000,-0.600391,-0.036614,-0.198438,0.045547,-4.814787,-1.486774,-3.853418,-1.777694,7057,0,-0.718685
1788359042.258057,0,0,17923,17923,427,68,4656,590,727,590,0,2,2,2,426,432,97,0,5,255,255,0,255,255,0,5,0,26,22,22,0,0,0,0,3,0,0,0,0,4759,1,0,0,0,0,15,1782900225,1782900225,1782900225,1782900225,1782900225,1782900225,7057,7057,332,17,1,431,0,28,32629,81,1,1,7057,0,0,0,0,0,2,0,1,32758,0,15,1,5100,65526,0,459,270,22,-1,-1,432,431,0,431,431,67,3,9,4,4862,7804363,2044,498091,66,80,14,81,3573,215,6,22,1,22,0,23,23,431,0,1,81,0,-11.843143,29.564043,28.738272,-14746029845105989260271293562880.000000,-36793855583805655731367118372864.000000,-742002022515552318987792547840.000000,14,-119.549042,-12.608429,-0.000000,46.609367,-3.281200,-43.678528,-310.000000,308.021973,-13.876122,-206.000000,703.500000,0.779280,433.251190,29.496914,1,0.000000,55.525578,91.438568,44.221687,0.000000,0,0,0.000000,-2.147851,-1.533160,-1.818014,-1.186892,-50.549511,-18.136066,-48.750946,-16.018187,7057,0,-13.312404
1788359043.708116,0,0,17923,17923,427,68,4656,590,727,590,0,2,2,2,426,429,97,0,5,255,255,0,255,255,0,5,0,26,22,22,0,0,0,0,3,0,0,0,0,4759,1,0,0,0,0,15,1782900226,1782900226,1782900227,1782900227,1782900227,1782900227,7057,7057,332,14,2,431,0,28,32519,81,3,2,7057,0,0,0,0,0,2,0,1,32764,0,15,1,5100,65532,0,459,270,22,-1,-1,432,431,0,431,431,67,3,15,4,4862,7804363,2044,498091,66,80,14,81,3573,215,6,22,1,22,0,23,23,431,0,1,81,3,-4.162093,29.827559,28.669022,-48201830887863040894798261125120.000000,-148025442257510060990787879960576.000000,-2604670875143220743324515172352.000000,14,-249.291946,-26.288219,-0.000000,-8.532367,7.737978,13.597879,-310.000000,298.786072,-4.521397,-206.000000,703.420715,0.538207,433.198364,29.496637,3,0.000000,29.857201,12.844076,38.274136,0.000000,0,0,0.000000,-4.549469,-0.748481,-4.341998,-0.627386,-21.446503,-7.006149,-22.015661,-5.813691,7057,0,-5.817665
1788359045.158175,0,0,17923,17923,428,68,4656,590,727,590,0,2,2,2,426,428,97,0,5,255,255,0,255,255,0,5,0,26,22,22,0,0,0,0,3,0,0,0,0,4759,1,0,0,0,0,15,1782900228,1782900228,1782900228,1782900228,1782900228,1782900228,7057,7057,332,14,2,431,36,28,32501,81,3,2,7057,0,0,0,0,0,2,0,1,32745,0,15,1,5100,65514,0,459,270,22,-2,-3,432,431,0,431,431,67,3,15,4,4862,7804363,2044,498091,66,80,14,81,3573,215,6,22,1,22,0,23,23,431,0,1,81,3,-15.121368,29.791859,28.729507,-1713716564038939676212969116096528384.000000,-4400156893346759757230674082443296768.000000,-84434819477254875633263276506218496.000000,14,-263.249542,-27.726782,-0.000000,-18.923143,-12.900253,7.154980,-310.000000,297.723389,-13.175153,-206.000000,703.000000,1.231518,433.182434,29.496403,3,0.000000,38.667183,101.491539,70.514648,0.000000,0,0,0.000000,-5.395611,-0.762591,-4.867205,-1.068948,-53.376640,-19.648525,-54.029068,-21.364128,7057,0,-15.752384
1788359046.608236,0,0,17923,17923,428,68,4656,590,727,590,0,2,2,2,426,430,97,0,5,255,255,0,255,255,0,5,0,26,22,22,0,0,0,0,3,0,0,0,0,4759,1,0,0,0,0,15,1782900229,1782900229,1782900229,1782900229,1782900229,1782900229,7057,7057,332,14,1,431,65,28,32553,81,2,2,7057,0,0,0,0,0,2,0,1,32740,0,15,1,5100,65507,0,459,270,22,-3,-3,432,431,777,431,431,67,3,15,4,4862,7804363,2044,498091,66,80,14,81,3573,215,6,22,1,22,0,23,23,431,0,1,81,2,-28.446947,29.841009,28.740248,-5633080522294386871330725477683822592.000000,-17722931770947658829808499751731068928.000000,-498968152870653601082058280466907136.000000,14,-246.486084,-25.935331,-0.000000,65.307320,0.758934,-74.879211,-310.000000,299.071777,-22.422354,-206.000000,703.000000,1.871924,433.197510,29.496384,2,0.000000,42.121735,124.918861,92.670761,0.000000,0,0,0.000000,-4.654083,-1.333758,-4.299449,-1.414155,-51.516987,-18.511860,-50.493706,-16.336241,7057,0,-11.657952
1788359048.058297,0,0,17923,17923,428,68,4656,590,727,590,0,2,2,2,426,431,97,0,5,255,255,0,255,255,0,5,0,26,22,22,0,0,0,0,3,0,0,0,0,4759,1,0,0,0,0,15,1782900231,1782900231,1782900231,1782900231,1782900231,1782900231,7057,7057,332,14,1,431,65,28,32645,81,1,1,7057,0,0,0,0,0,2,0,1,32745,0,15,1,5100,65513,0,459,270,22,-2,-2,432,431,2047,431,431,67,3,15,4,4862,7804363,2044,498091,66,80,14,81,3573,215,6,22,1,22,0,23,23,431,0,1,81,1,-24.021883,29.963320,28.749012,-1841148725190132722085177076695957504.000000,-13322754278278645363850051347860684800.000000,-734185673503158708050871156721319936.000000,14,-106.227394,-11.166588,-0.000000,56.833076,14.815976,-37.638016,-310.000000,310.000000,-27.532475,-206.000000,703.079285,1.627059,433.094421,29.496357,0,0.000000,49.990593,198.355164,63.907875,0.000000,0,0,0.000000,-2.673737,-1.181475,-2.749791,-1.423252,-100.287750,-43.580757,-102.577034,-43.849716,7057,0,-32.653191
1788359049.508463,0,0,17923,17923,427,68,4661,590,727,590,0,2,2,2,426,431,97,0,5,255,255,0,255,255,0,5,0,26,22,22,0,0,0,0,3,0,0,0,0,4759,1,0,0,0,0,15,1782900232,1782900232,1782900232,1782900232,1782900232,1782900232,7057,7057,332,14,0,431,29,28,15094,81,0,0,7057,0,0,0,0,0,2,0,1,18033,0,15,1,5100,38343,0,459,270,22,-2,-1,432,431,2047,431,431,67,3,15,4,4862,7804363,2044,498091,66,80,14,81,3573,215,6,22,1,22,0,23,23,431,0,1,81,0,-25.850668,30.128519,28.710011,0.000000,0.000000,-30263936065270356947590746206462017536.000000,14,-1.622270,-0.101022,-0.000000,-9.318444,-74.502022,88.633278,-252.237732,254.434692,-29.628635,-206.000000,703.500000,1.011280,433.195007,29.496391,0,0.000000,72.906944,132.506851,217.900543,0.000000,0,0,0.000000,-0.155574,-0.246934,-0.211708,-0.315652,-92.565331,-39.286316,-91.404655,-38.577095,7057,0,-27.397713
1788359050.958512,0,0,17923,17923,429,68,4656,590,727,590,0,2,2,2,426,428,97,0,5,255,255,0,255,255,0,5,0,26,22,22,0,0,0,0,3,0,0,0,0,4759,1,0,0,0,0,15,1782900234,1782900234,1782900234,1782900234,1782900234,1782900234,7057,7057,332,19,0,431,0,28,43,81,0,0,7057,0,0,0,0,0,2,0,1,9,0,15,1,5100,10,0,459,270,22,-1,-1,432,431,2047,431,431,67,3,15,4,4862,7804363,2044,498091,66,80,14,81,3573,215,6,22,1,22,0,23,23,431,0,1,81,0,4.248566,30.317656,28.759750,-4522939312096315657658192135685406720.000000,-11302327116213285127486151897817022464.000000,-99382387289220929460411854993888378880.000000,14,23.409079,2.399925,-0.000000,-1.565054,5.468718,-8.627858,-57.667034,55.659283,2.398127,-206.000000,703.420654,0.127224,433.382324,29.496553,0,0.000000,11.036552,9.765443,8.196220,0.000000,0,0,0.000000,0.355392,0.185703,0.771644,0.104904,2.235122,-0.682702,11.233559,-3.117083,7057,0,2.911925
1788359052.408589,0,0,17923,17923,429,68,4656,590,727,590,0,2,2,2,426,428,97,0,5,255,255,0,255,255,0,5,0,26,22,22,0,0,0,0,3,0,0,0,0,4759,1,0,0,0,0,15,1782900235,1782900235,1782900235,1782900235,1782900235,1782900235,7057,7057,332,24,1,431,0,28,149,81,1,1,7057,0,0,0,0,0,2,1,1,23,0,15,1,5100,23,0,459,270,22,-3,-2,432,431,2047,431,431,67,3,11,4,4862,7804363,2044,498091,66,80,14,81,3573,215,6,22,1,22,0,23,23,431,0,1,81,1,21.816725,29.859564,28.729507,-24816402828981976241986494673652285440.000000,-65346465592128259496150760637199286272.000000,-24433341635303809424983417905645355008.000000,14,173.398148,18.055290,-0.000000,-9.801710,22.271837,-30.702154,-307.174408,310.000000,18.818462,-206.000000,703.000000,1.440699,433.053558,29.497389,2,0.000000,78.483795,85.565857,82.470367,0.000000,0,0,0.000000,2.490135,-0.800765,3.230039,-1.209663,38.461380,-14.053688,37.153992,-11.672989,7057,0,8.973350
