strEcu,strLabLong,strLab,numIdTstr,numIdGtwy,numSid,numDid,numDwnSamp,numBytes,numStrtBit,numLenBit,strDbc,strType,numFac,numOfs,stIntp,stUse1,stUse2,stUse3,stUse4,stRvt,numMtyLvl,strCmnt,strtByte,lenByte,strName
Fuel Cell,Medium-Range Hydrogen Pressure Sensor Voltage [V],uH2MedRngSens,2001,2009,34,6146,,2,0,9,7|9@0,uint,100,0.059499,1,1,,,,,"2,0177",,,,Mirai2
Hybrid Control Unit,Motor Carrier Frequency,fMot,2002,2010,34,4257,,6,32,8,39|8@0,uint,1,0,1,1,,,,,65535,,,,Mirai2
Hybrid Control Unit,Motor Inverter Maximum Temperature [°C],tMotInvMax,2002,2010,34,4261,,3,16,8,23|8@0,uint,1,40,1,1,,,,,65535,,,,Mirai2
Hybrid Control Unit,Motor Inverter Temperature [°C],tMotInv,2002,2010,34,4261,,3,0,8,7|8@0,uint,1,40,1,1,1,,,,"2,9175",,,,Mirai2
Hybrid Control Unit,Motor Inverter Temperature just after Ignition ON [°C],tMotInvIgnOn,2002,2010,34,4261,,3,8,8,15|8@0,uint,1,40,1,1,,,,,65535,,,,Mirai2
Hybrid Control Unit,Motor Maximum Temperature [°C],tMotMax,2002,2010,34,4155,,5,32,8,39|8@0,uint,1,40,1,1,1,,,,65535,,,,Mirai2
Hybrid Control Unit,Motor Operation Status,stMotOp,2002,2010,34,6991,,1,0,8,7|8@0,uint,1,0,0,1,,,,,65535,,,,Mirai2
Hybrid Control Unit,Motor Revolution [rpm],nMot,2002,2010,34,4257,,6,0,16,7|16@0,uint,1,32768,1,1,1,,,,"2,234",,,,Mirai2
Hybrid Control Unit,Motor Temperature [°C],tMot,2002,2010,34,4155,,5,16,8,23|8@0,uint,1,40,1,1,1,,,,"2,2954",,,,Mirai2
Hybrid Control Unit,Motor Temperature just after Ignition ON [°C],tMotIgnOn,2002,2010,34,4155,,5,24,8,31|8@0,uint,1,40,1,1,,,,,65535,,,,Mirai2
Hybrid Control Unit,Motor Torque Estimate Value [Nm],tqMotEstm,2002,2010,34,6988,,2,0,16,7|16@0,uint,8,4096,1,1,1,,,,"3,1635",,,,Mirai2
Fuel Cell Converter,Phase U Current (Offset Value) [A],curUOfs,2003,2011,34,5642,,2,0,16,7|16@0,uint,100,327.68,1,1,1,,,,"3,3039",,,,Mirai2
Fuel Cell Converter,Phase U Current [A],curU,2003,2011,34,5653,,2,0,16,7|16@0,uint,100,327.68,1,1,1,,,,"3,2323",,,,Mirai2
Fuel Cell Converter,Phase U Current AD Value [V],curUAd,2003,2011,34,5654,,2,0,12,7|12@0,uint,819.2,0,1,1,,,,,"2,6841",,,,Mirai2
Fuel Cell Converter,Phase U Duty [%],dcU,2003,2011,34,5648,,2,0,16,7|16@0,uint,163.84,0,1,1,,,,,"3,3135",,,,Mirai2
Fuel Cell Converter,Phase U Temperature 1 (Filtered Value) [°C],tU1Filt,2003,2011,34,5655,,2,0,16,7|16@0,uint,256,40,1,1,,,,,"2,9209",,,,Mirai2
Fuel Cell Converter,Phase U Temperature 1 [°C],tU1,2003,2011,34,5649,,2,0,16,7|16@0,uint,256,40,1,1,1,,,,"3,1474",,,,Mirai2
Fuel Cell Converter,Phase U Temperature 1 Duty [%],dcTU1,2003,2011,34,5651,,2,0,16,7|16@0,uint,163.84,0,1,1,,,,,"2,9538",,,,Mirai2
Fuel Cell Converter,Phase U Temperature 2 [°C],tU2,2003,2011,34,5650,,2,0,16,7|16@0,uint,256,40,1,1,1,,,,"2,9859",,,,Mirai2
Fuel Cell Converter,Phase U Temperature 2 Duty [%],dcTU2,2003,2011,34,5652,,2,0,16,7|16@0,uint,163.84,0,1,1,,,,,"2,5503",,,,Mirai2
Fuel Cell Converter,Phase V Current (Offset Value) [A],curVOfs,2003,2011,34,5700,,2,0,16,7|16@0,uint,100,327.68,1,1,1,,,,"3,1025",,,,Mirai2
Fuel Cell Converter,Phase V Current [A],curV,2003,2011,34,5666,,2,0,16,7|16@0,uint,100,327.68,1,1,1,,,,"3,0595",,,,Mirai2
Fuel Cell Converter,Phase V Current AD Value [V],curVAd,2003,2011,34,5667,,2,0,12,7|12@0,uint,819.2,0,1,1,,,,,"2,3395",,,,Mirai2
Fuel Cell Converter,Phase V Duty [%],dcV,2003,2011,34,5661,,2,0,16,7|16@0,uint,163.84,0,1,1,,,,,"3,0039",,,,Mirai2
Fuel Cell Converter,Phase V Temperature 1 (Filtered Value) [°C],tV1Filt,2003,2011,34,5668,,2,0,16,7|16@0,uint,256,40,1,1,,,,,"2,9504",,,,Mirai2
Fuel Cell Converter,Phase V Temperature 1 [°C],tV1,2003,2011,34,5662,,2,0,16,7|16@0,uint,256,40,1,1,1,,,,"2,8163",,,,Mirai2
Fuel Cell Converter,Phase V Temperature 1 Duty [%],dcTV1,2003,2011,34,5664,,2,0,16,7|16@0,uint,163.84,0,1,1,,,,,"3,4025",,,,Mirai2
Fuel Cell Converter,Phase V Temperature 2 [°C],tV2,2003,2011,34,5663,,2,0,16,7|16@0,uint,256,40,1,1,1,,,,"2,9117",,,,Mirai2
